,Id,Text,Label,HashTag,predicted,confidence
1978,1248198153888616452,"India, along with the rest of the world, is currently undergoing an unprecedented crisis due to the coronavirus outbreak. Despite the timely warnings by WHO &amp; Shri Rahul Gandhi, knowing that India reporting it's first case on January 30th #PMका_देश_को_धोखा",INFORMATIVE,PMका_देश_को_धोखा,UNINFORMATIVE,0.99615085
597,1241039898271985670,"Suggestions for #covid reporting: #CovidS (have symptoms), #Covid7 (had symptoms for 7 days), #Covid14 (symptoms for 14 days), #CovidT (have been tested positive), #Covid0 (have been tested and don’t have it), #CovidH (have been hospitalised), #CovidX (person has died).",UNINFORMATIVE,covid CovidS Covid7 Covid14 CovidT Covid0 CovidH CovidX,INFORMATIVE,0.9928946
1105,1247064175114944513,BREAKING: A tiger at the Bronx Zoo in New York has tested positive for Covid-19. This is the second case of an animal being infected after Harvey Weinstein in March.,UNINFORMATIVE,NA,INFORMATIVE,0.99120116
826,1240560225423245312,"The role of the society is paramount in its war against #Coronovirus. Let’s behave sensible, avoid needless travelling and socialising &amp; on top of that, report contact, if any, with the positive #Covid19 patient in Srinagar &amp; break this chain of transmission. #Covid19Kashmir",INFORMATIVE,Coronovirus. Covid19 Covid19Kashmir,UNINFORMATIVE,0.9906955
573,1245807554820702208,I'll pull a Kurt Kloss and ask peeps here if their companies have a written COVID policy on what happens when a coworker tests positive post the mandated work from home period. Curious to know if anyone's read published solutions to the new workplace normal.,INFORMATIVE,NA,UNINFORMATIVE,0.9846949
1495,1239244660280786944,"Wishing a speedy recovery to the EU's former #CFSP High Representative. Please be careful, everyone: Former NATO chief Javier Solana has coronavirus: source #COVIDー19",INFORMATIVE,CFSP COVIDー19,UNINFORMATIVE,0.98262644
613,1237982942170767360,i’m literally being forced to sit thru 6 hrs of school in a city w/ 29 cases of covid-19 while people in vermont will get a month off for a single speck of snow #CloseTheSchools,INFORMATIVE,CloseTheSchools,UNINFORMATIVE,0.98200697
265,1247488606681382912,'#ClapForBoris tonight at 8pm': Twitter users unite in support of PM after he was moved to intensive care with worsening coronavirus symptoms via 💪🙏👍👏👏👏 I’ll be there #boris,INFORMATIVE,ClapForBoris boris,UNINFORMATIVE,0.9819286
1137,1241475326263296003,Good tweet stream here on today’s NWT public health press conference addressing the first COVID19 case and the travel and mobility restrictions. Thanks #cbcnorth,INFORMATIVE,cbcnorth,UNINFORMATIVE,0.9722305
82,1248647929868541953,"Postscript - The idea that the US #COVID19 Deaths has peaked depends on daily deaths moving back below 1,600. Until that happens, we remain vulnerable to the death rate moving to near 3,200. That could alter the curve and affect the peak.",INFORMATIVE,COVID19,UNINFORMATIVE,0.97112817
1141,1236091758456397824,READ | Presidential Spokesperson Salvador Panelo on Covid-19: News of foreign nationals purportedly contracting the new coronavirus disease (Covid-19) in the Philippines has reached the Office of the President. | via,UNINFORMATIVE,NA,INFORMATIVE,0.96914893
636,1240562054861381632,"Yep I'm not anyway trying to distance them as Indians...Only worried abt how will Mumbai alone deal with 26K ppl suspected of covid19,rather the other states &amp; cities share this responsibility..",INFORMATIVE,NA,UNINFORMATIVE,0.96750736
1358,1242404414352232454,"Air peace ✌️ pilot refused to open the exit door 🚪 of a plane ✈️ flying from Lagos to Kano, cus he suspect’s a COVID19 carrier in the plane. Thumbs 👍 up to the pilot",INFORMATIVE,NA,UNINFORMATIVE,0.966922
923,1236265639758659585,"All the best Mr. Zingaretti. Wish you a fast recovery. We need our leaders in Italy. Montalbano will guard on you! #ITALY #Coronavirus #Forza Coronavirus, Zingaretti positivo al test via",INFORMATIVE,ITALY Coronavirus Forza,UNINFORMATIVE,0.9640297
117,1247093622790598656,"A new deadly virus discovered in Nigeria. According to report it is more deadly than #Coronavirus as at this morning over 100,000,000 cases has been recorded in Nigeria. The code for the dreaded virus is known as #HungerVid20. People are seriously hungry, FG abeg do something o",UNINFORMATIVE,Coronavirus HungerVid20.,INFORMATIVE,0.96032536
1306,1236297828458098689,"Update: About 70 people are trapped in a collapsed building at the Xinjia Hotel in Quanzhou, Fujian Province. 23 people have been rescued. The hotel had been used to isolate suspected #COVID19 patients. Witness said that the whole building was collapsed in just a few seconds.",UNINFORMATIVE,COVID19,INFORMATIVE,0.9577319
570,1236144335516655617,"In authoritarian countries, officials tend to sanitize ugly truths to please their big boss. Signs of that when sec. duque said that confirmed covid 19 in a Pinoy without travel history doesnt mean local transmission. Putok sa buho yung virus?",INFORMATIVE,NA,UNINFORMATIVE,0.95726097
526,1241305892404039680,Schalke 04 midfielder Amine Harit has made negative headlines in Germany after he went to a bar on Thursday night despite the coronavirus pandemic. #S04 #Bundesliga Full story 👉,UNINFORMATIVE,S04 Bundesliga,INFORMATIVE,0.95503414
1108,1241073842661085184,David Anzarouth knew it could happen to anyone but never thought it would happen to him. Every. Arsehole. Ever. How many other people has he infected? #covid19,INFORMATIVE,covid19,UNINFORMATIVE,0.9528913
1193,1237278722182406144,"Fewer than 200 new cases of CoronaVirus are currently reported in China daily, down from a peak of 4,000! If these figures can be relied on then the turn has already been made. The panic should end soon.",UNINFORMATIVE,NA,INFORMATIVE,0.95270604
614,1240789305016168459,"As China’s Virus Cases Reach Zero, Experts Warn of Second Wave #BorisJohnson #UK is not ready for #coronavirus let alone wave 2",INFORMATIVE,BorisJohnson UK coronavirus,UNINFORMATIVE,0.9498912
1748,1245921263287021569,"2/ There have now been a total of nearly 276,000 unemployment claims in the state of Texas, largely due to the coronavirus pandemic. The number of Americans filing for unemployment benefits nationwide last week surged to a record 6.65 million.",UNINFORMATIVE,NA,INFORMATIVE,0.9488615
1199,1237029502502334470,"Princeton is I think the first university to shift online without there being a confirmed COVID-19 case on campus. One week of phased-in social distancing, one week of spring break, then two weeks everything online. To re-evaluate in early April.",INFORMATIVE,NA,UNINFORMATIVE,0.9485861
1144,1236160814253555712,"One slide in a leaked presentation for US hospitals reveals that they're preparing for millions of hospitalizations as the outbreak unfolds: • 96 million cases overall in the US • 4.8 million hospitalizations • 480,000 deaths #COVID19 #Coronavirus",UNINFORMATIVE,COVID19 Coronavirus,INFORMATIVE,0.9471085
1643,1241633883772325894,"Further confirmed cases of the coronavirus in Devon and Cornwall are expected to be officially confirmed later today as Boris Johnson described the outbreak as ""accelerating""",UNINFORMATIVE,NA,INFORMATIVE,0.946553
85,1242859060002721792,"#Georgia has received 1,000 Covid-19 rapid tests from China. The tests were dispatched to Marneuli Municipality. According to Georgian authorities, the new tests can diagnose Covid-19 in 90 minutes. ⚡ #Covid19Caucasus: 📸 Photo via Archil Kalandia.",UNINFORMATIVE,Georgia Covid19Caucasus:,INFORMATIVE,0.9416889
528,1241256357212246016,Large study describes characteristics of children with COVID19 in China: 1. Children of all ages were susceptible to SARSCoV2 infection with infants and younger children being most at risk for severe and critical illness. There was only 1 death reported.…,INFORMATIVE,NA,UNINFORMATIVE,0.9404662
440,1236110865616850944,"Due to the recent confirmed COVID-19 case in San Juan, The Feast Greenhills will be joining Feast Ortigas-Galleria tomorrow at 10:15 am in Robinsons Galleria. I'll be preaching there as well, and our team will collaborate with Feast Ortigas. I am prayi…HTTPURL",INFORMATIVE,NA,UNINFORMATIVE,0.9398178
1625,1236155116329349121,Only five places on Earth currently have more deaths than recoveries from Coronavirus. - Iraq 🇮🇶 - San Marino 🇸🇲 - USA 🇺🇸 - Spain 🇪🇸 - Netherlands 🇳🇱 Three of those countries has more than ten confirmed cases. 🇺🇸 🇪🇸 🇳🇱 Hopefully the trend doesn’t continue!,UNINFORMATIVE,NA,INFORMATIVE,0.9397823
35,1240611802557353986,Breakfast Briefing: -China has no new coronavirus cases -Tesla “will make ventilators if there is a shortage” -LLYC has a new U.S. CEO ...and 2 other things for PR pros to know on Thursday morning,INFORMATIVE,NA,UNINFORMATIVE,0.9394971
1216,1236139105593016320,"From Gran Canaria: Covid-19 Corona Virus confirmed on Gran Canaria, we all need to work…",INFORMATIVE,NA,UNINFORMATIVE,0.936157
1558,1245681511694729216,"Simple. There is no way mega China suffers 3k deaths and mini Italy 13K. Trump says he can’t confirm China’s coronavirus case numbers, warns of 'horrific' days to come",INFORMATIVE,NA,UNINFORMATIVE,0.9361073
1615,1251838295300018178,Hurry SOVEREIGN SCOTS help get OUR 10MILLION #PPE masks distributed to SNHS frontline CARESTAFF HELP SCOTS +@USER PLS #ClosetheBorder SCOTS DEAD SOON TOP 1000 We could've been #NEWZEALAND #OTD 1094cases-867 recover 12 DEAD #COVID19,INFORMATIVE,PPE ClosetheBorder NEWZEALAND OTD COVID19,UNINFORMATIVE,0.934413
1635,1239217803963404288,"2. In May 2013, Canada's National Microbiology Laboratory in Winnipeg got a coronavirus sample from the Erasmus Medical Centre in Rotterdam, NL. The Winnipeg lab is Canada's only biosafety level 4 lab. And we already know Dr. Plummer died in Kenya...",UNINFORMATIVE,NA,INFORMATIVE,0.93213487
1620,1245771396254294016,"On March 15th, Washington state had the most #coronavirus cases in the U.S. Today it's in 10th place.",UNINFORMATIVE,coronavirus,INFORMATIVE,0.93110955
94,1241027789148438529,"NBC News Says Staffer Has Died After Testing Positive For Coronavirus via KEY WORDS HERE ""OTHER HEALTH ISSUES"" I THINK WE WILL COME THRU THIS PRETTY WELL. I AM FEELING BETTER SEEING PEOPLE FUNCTIONING FINE YET HAVE THE VIRUS AND DONT KNOW IT,",INFORMATIVE,NA,UNINFORMATIVE,0.93017334
524,1236846686842114048,"Where are the reports from across Sub-Saharan Africa? A large Chinese presence; its reported over 1,000,000 Chinese citizens residing across Africa, and 200,000 Africans working in China Nigeria case is an Italian/other cases not from China, via Travel #coronavirus #COVID19",UNINFORMATIVE,coronavirus COVID19,INFORMATIVE,0.92773575
206,1236124297749581825,I’ve been worried about food preparers and servers getting COVID19 and infecting others. This case at the Seattle Starbucks is the first case I’ve heard of officially in the USA. #coronavirus #seattlecovid19 #Starbucks,INFORMATIVE,coronavirus seattlecovid19 Starbucks,UNINFORMATIVE,0.9277323
1909,1236121124297158657,"In South Korea 🇰🇷 &gt;66,650 people were tested within 1 week of its 1st case of community transmission, and it quickly could test 10,000 people/day. In the US &lt;1,900 have been tested...TOTAL! How Many Americans Have Been Tested for Coronavirus?",UNINFORMATIVE,NA,INFORMATIVE,0.9269938
1235,1248192646117494786,"Today's telling #PrimeClown question time The most weirdly avoided questions on Boris's Covid-19 infection are: 1. ""Who infected Boris and how?"" 2. ""Who has Boris infected and how? In other countries they test those around known infected. But we have a flea circus in charge.",INFORMATIVE,PrimeClown,UNINFORMATIVE,0.92684686
1471,1237536480320315392,Breaking news 🛑: IRAN 🇮🇷: Iranian city of Qom Hospital. Many Iranians die from the #coronavirus #CoronavirusOutbreak #COVID19,UNINFORMATIVE,coronavirus CoronavirusOutbreak COVID19,INFORMATIVE,0.9233793
1887,1236116386637918209,"What a smart move. With 0 cases of #coronavirus in #TravisCounty #Austin, the chance for community spread at SXSW was huge #WellPlayed",INFORMATIVE,"coronavirus TravisCounty Austin, WellPlayed",UNINFORMATIVE,0.92278934
1948,1250524923442933767,"'Only a mother can care for a child, the way my NHS colleagues cared for me.' Touching words from Kent GP after being discharged from hospital. #COVID19",INFORMATIVE,COVID19,UNINFORMATIVE,0.92060024
1151,1236131496865521664,.@USER McConnell is closely following the confirmed case of coronavirus in #Kentucky. Federal funding is on the way to bolster efforts throughout the Commonwealth to keep families safe.,INFORMATIVE,Kentucky.,UNINFORMATIVE,0.92051476
1308,1236471535902261253,We'll know in 2 weeks if Trump and co have the virus. I suspect Pompeo has it because he was at CPAC and AIPAC and both events had coronavirus carriers. This virus spreads like wildfire in public gatherings. Symptoms may not emerge immediately. Why else is Trump avoiding Pompeo?,INFORMATIVE,NA,UNINFORMATIVE,0.91912776
398,1240030836185010177,"Of data available from over 50K tests done in the US, about 90% are negative. The COVID Tracking Project",INFORMATIVE,NA,UNINFORMATIVE,0.9159288
221,1247045895985618945,Maybe if the Health commissioner in NYC OXIRIS Barbot &amp; Mark Levine &amp; the Mayor 👎🏻👎🏻endorsed going into large gatherings in February there wouldn't be 4159 deaths. #CoronaVirusUpdate #nycshutdown #VoteThemOut #NYCHospitals,INFORMATIVE,CoronaVirusUpdate nycshutdown VoteThemOut NYCHospitals,UNINFORMATIVE,0.9158482
854,1244498276914610176,"The chart below demonstrates the trajectory of deaths after 100 confirmed cases caused by #COVID19 - Sir, the USA trajectory beats out all other responses by nation states. What has happened in the USA is a colossal failure of leadership at the top rung of our gov't - that's you.",INFORMATIVE,COVID19,UNINFORMATIVE,0.91491735
171,1242114709375143936,My governor I pray may the result be negative.. Allah Kare mana kai your Excellency. And those who tested positive already I wish them quick recovery and more good health. Amen 🌐 🙏😷 #COVID19,INFORMATIVE,COVID19,UNINFORMATIVE,0.91469383
956,1236441240637526016,"People are panicking about COVID-19 but according to the CDC an estimated 12,000 people have died from influenza between Oct. 1, 2019 through Feb. 1, 2020, and the number of deaths may be as high as 30,000 and this is just the US Taking precautions is sensible, panicking is not.",UNINFORMATIVE,NA,INFORMATIVE,0.9144208
376,1246896216929116160,"🦠 US &amp; South Korea reported their first #COVID19 case on the same day. S Korea immediately took action. Trump lied, delayed, said cases would drop to 0, anyone could be tested, held rallies, golfed. See the difference both made? 🤦‍♀️",UNINFORMATIVE,COVID19,INFORMATIVE,0.9134343
1830,1247004602559541249,The NBA should resume play with only the players who have been cleared from the coronavirus. The Nets would probably dominate with 4 recovered players but Gobert/Mitchell would be a dominant duo,INFORMATIVE,NA,UNINFORMATIVE,0.9126687
406,1238494789437239296,"Fongod Edwin: “We will know if Covid-19 has affected our markets from the 2nd quarter onwards”: Despite the spread of the coronavirus abroad and the confirmation of two cases in Cameroon, the pandemic has not had any real impact on the Cameroonian market…",INFORMATIVE,NA,UNINFORMATIVE,0.9124805
1506,1246010781755486208,"With cases breaching the 1m mark, here is your daily Coronavirus update. #COVID19Pandemic",INFORMATIVE,COVID19Pandemic,UNINFORMATIVE,0.9122691
1355,1236110517158031360,Australia is here too. Australia and the US had their first deaths and first community transmissions on the same days. #auspoI #COVIDー19,UNINFORMATIVE,auspoI COVIDー19,INFORMATIVE,0.91138655
1777,1244571101004521473,"UPDATE: Mayor of Ruhango district Habarurema Valens says was shocked yesterday to find 10 people including one of his district staff drinking in a hotel in complete disregard of #COVID19 #StayHome lockdown. The group has been arrested, awaits possible prosecution",UNINFORMATIVE,COVID19 StayHome,INFORMATIVE,0.90918547
156,1245927362983686150,U guys are idiots. Why don’t u talk to actual RNs and physicians dealing with this shit. My uncle just died treating folks without a proper mask from covid. Took him in 36 hrs! Many hospitals have BS policies that docs/staff can’t bring in their own PPE! it’s absurd but true.,INFORMATIVE,NA,UNINFORMATIVE,0.9072274
385,1247684835218423808,"Britain could see as many as 66,000 COVID-19 deaths during the first wave of the current pandemic, new research showed Tuesday, making the outbreak there by far the deadliest in Europe",UNINFORMATIVE,NA,INFORMATIVE,0.90637064
1364,1251132648904249344,Hatts off to SDM &amp; CJS both for following the rules strictly made by government &amp; this is one of the reason why a single case of positive #Covid19 not found in State. An example for Gov officials/ VIPs of other States,INFORMATIVE,Covid19,UNINFORMATIVE,0.9054388
1920,1241148363447439361,"Jeffrey Long of Inman, showed his employer a fake doctor’s excuse from a VA hospital in Asheville, North Carolina, purportedly showing he had tested positive for COVID-19. The hospital was not even conducting tests at that time.",UNINFORMATIVE,NA,INFORMATIVE,0.9022294
1721,1237243450816204800,#Moronovirus you caught it from trump. It’s highly contagious. You were exposed and coronavirus is highly contagious. But keep telling yourself it’s okay to put other people at risk. Only 700+ people have tested positive. Your constituents deserve better. Smh.,INFORMATIVE,Moronovirus,UNINFORMATIVE,0.9000763
1042,1236109589168427008,"On the previous trip which had several infected #coronavirus patients on it, returning Feb 21st, it did stop in Mexico. On this trip, the cruise was cut early on its way to Mexico and returned to San Francisco after making four stops on four islands in Hawaii.",UNINFORMATIVE,coronavirus,INFORMATIVE,0.8990026
1898,1236093951863590925,"Our own Xihong Lin has an Epi paper on the 26,000 lab-confirmed COVID-19 cases in Wuhan til Feb 18. It characterizes the Wuhan outbreak (e.g. relative risks and reproduction rates) and evaluates the impact of non-pharmaceutical interventions.",INFORMATIVE,NA,UNINFORMATIVE,0.89709836
1937,1245885532372193284,"Who the hell is running the US Armed Forces these days? These soldiers have protective equipment galore and would run headfirst into battle to save Americans, SO LET THEM #covid19 USNS Comfort Hospital Ship Was Supposed to Aid New York. It Has 3 Patients.",INFORMATIVE,covid19,UNINFORMATIVE,0.89686
603,1250973205357101057,I'm just surprised they didn't try to say he died of the Coronavirus. 'Rambo: First Blood' and 'Tommy Boy' actor Brian Dennehy dead at 81 #FoxNews,UNINFORMATIVE,FoxNews,INFORMATIVE,0.8931971
62,1245951168150290432,"#Resist #Resistance #NotDyingForTrump To put a little perspective on things: trump says he'll have done a good job if only 100,000 Americans die from #COVID19. There were about 45,000 Americans who died in the Korean War. There were about 58,000 Americans killed in Vietnam.",UNINFORMATIVE,Resist Resistance NotDyingForTrump COVID19.,INFORMATIVE,0.89268696
448,1241439963285196812,"Today, the U.S. passed Iran and Germany in the number of confirmed cases of #coronavirus We're almost number 1 in the world in something, thanks to Trump",UNINFORMATIVE,coronavirus,INFORMATIVE,0.8924712
39,1250555968351539200,Do you wanna know why conspiracy theories happen because we have a president that just said Governor Cuomo added an extra 4000 deaths to the coronavirus because The people died at home and this is why people think this is a hoax.,INFORMATIVE,NA,UNINFORMATIVE,0.8908141
42,1246013780426993669,"In case you missed it, over on my Blog, has written an earnest, heartfelt essay about his recent possible exposure to Covid-19 and what quarantine is like for him.",INFORMATIVE,NA,UNINFORMATIVE,0.89036983
1499,1242087827518574593,"A suspect who stabbed a female doctor in Erdos, North China's Inner Mongolia Autonomous Region was arrested on Mon on a charge of intentional murder. The Chinese public’s anger was amplified by the current #COVID-19 pandemic.",UNINFORMATIVE,COVID-19,INFORMATIVE,0.88580614
1353,1236329892716765186,del take care! kat sini pun ada 2 suspect covid and dorg went to korea oso,INFORMATIVE,NA,UNINFORMATIVE,0.88562405
1174,1241249560703295490,Percentage compound daily growth rate of COVID-19 in USA from 100cases onwards (2nd March) positively frightening - ahead of Italy at day 19 being 34% versus 32.5%. Love this econometrics revisited....,INFORMATIVE,NA,UNINFORMATIVE,0.883913
652,1245085979733622786,"Remember the Young Woman Who Died While Waiting for a Coronavirus Test in New Orleans? …Yeah, Well Now the Truth Is Out #RicoTheDems #ArrestThemAllNow #ImpeachObamasJudges #mustread #feedly",INFORMATIVE,RicoTheDems ArrestThemAllNow ImpeachObamasJudges mustread feedly,UNINFORMATIVE,0.8832091
1694,1247066850879344640,"“Despite the zoo being closed since March 16, the veterinarian says the Nadia, the Malayan #Tiger, likely got #coronavirus from a zookeeper who might have been asymptomatic.”",INFORMATIVE,"Tiger, coronavirus",UNINFORMATIVE,0.8825919
1204,1244610785889968128,"Gov't anticipates there will be 1,000 coronavirus cases in Kenya by first week of April, 5,000 cases by mid-April and potentially 10,000 cases by April 30th; Ministry of Health Director General Dr. Patrick Amoth says these numbers are being used for preparation purposes.",UNINFORMATIVE,NA,INFORMATIVE,0.8807438
593,1245177605457920001,"Coronavirus updates: Stormont leaders in 'useful' engagement with Dublin as six further deaths confirmed =39090276.html via = Rumours going around that switches to be pulled by doctors if people are selected, "" a bad idea!",INFORMATIVE,NA,UNINFORMATIVE,0.8806801
975,1242155171473481731,I did notice from a recent Folha article that 9 out of the first 10 Coronavirus deaths in Brazil were all people who had died in private hospitals. This could be for several reasons but it's definitely something to watch out for.,UNINFORMATIVE,NA,INFORMATIVE,0.8800351
1706,1246073255678492674,"One media house is cutting salaries, another is reviewing contracts and another is still unsure if it will pay salaries by the end of April. Impact of Covid-19 as SA marks day 30 since the first confirmed case of the deadly virus.",INFORMATIVE,NA,UNINFORMATIVE,0.8793388
714,1241465398228176896,"Well intended family gathering has tragic ending. #InvisibleEnemy All Americans need to follow Coronavirus Task Force &amp; Health Department Guidelines #StayHomeSaveLives #Coronavirus Ravages 7 Members of a Single Family, Killing 4",INFORMATIVE,InvisibleEnemy StayHomeSaveLives Coronavirus,UNINFORMATIVE,0.8793041
115,1241170618571264000,The Albemarle Police Department has arrested Justin Rhodes for doing a Facebook Live video inside of the Albemarle Walmart and telling people he tested positive for COVID-19. Rhodes is facing charges for felony perpetrating hoax in a public building and disorderly conduct,UNINFORMATIVE,NA,INFORMATIVE,0.87670594
568,1241848177311076352,"As #COVID-19 cases rise above 1,000 in #Africa &amp; as #lockdowns begin in #Nigeria, there are fears the outbreak could shut down ongoing #sustainabledevelopment efforts, fuelling #foodshortages in #cities &amp; #communities vulnerable to #shocks from #conflict, #drought &amp; #flooding",INFORMATIVE,"COVID-19 Africa lockdowns Nigeria, sustainabledevelopment foodshortages cities communities shocks conflict, drought flooding",UNINFORMATIVE,0.87652
1221,1247094048571248640,"A spokesperson for Carrollton Police said officers did go by 18yo Lorraine Maradiaga’s home, but she wasn’t there. Police said her family is cooperating. CPD said they hope the woman turns herself in #COVID19",UNINFORMATIVE,COVID19,INFORMATIVE,0.87457293
677,1246728391090372609,"NHS coronavirus nurse, 23, dies after 12-hour shift 'without right protective kit' - Mirror Online. Each area in a hospital has a different level of PPE in accordance with WHO recommendations. It must be worn correctly &amp; taken off correctly to remain well.",INFORMATIVE,NA,UNINFORMATIVE,0.8729275
1392,1239542213207441408,"Iranian Resistance Declares Deaths From Chinese Coronavirus In Iran Passes At Least 4,900...Blaming Direct Flights From China, Canada Is Still Allowing Flights From China! #TrudeauMustGo",INFORMATIVE,TrudeauMustGo,UNINFORMATIVE,0.8718878
1476,1241142902191009798,"In the U.S., between April 2009 and April 2010, the CDC estimates there were 60.8 million cases of swine flu, with over 274,000 hospitalizations and nearly 12,500 deaths. I’m not downplaying COVID-19... but where was all the hysteria in 2009?",UNINFORMATIVE,NA,INFORMATIVE,0.8686262
